SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning;Sample_Type;ExploreVersion
CONTROL_SAMPLE_P1_B12;24;OID20440;Q13007;IL24;0.7159;Inflammation;B04403;P1;PASS;-4.3927;-4.445;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21196;P43628;KIR2DL3;0;Oncology;B04404;P1;PASS;-5.0404;-2.1104;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20665;P48023;FASLG;0;Inflammation;B04403;P1;PASS;-8.6945;-0.1788;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30159;P22033;MMUT;0.8409;Cardiometabolic_II;B13805;P1;PASS;-3.6936;-3.8989;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21504;P78552;IL13RA1;0;Oncology;B04404;P1;PASS;-6.166;-2.436;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31132;P08579;SNRPB2;0.0227;Neurology_II;B13806;P1;PASS;-5.1843;-4.2426;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30639;Q8NHV1;GIMAP7;0;Inflammation_II;B13803;P1;PASS;-4.5982;-2.0401;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31129;P51460;INSL3;0;Neurology_II;B13806;P1;PASS;-3.7049;-1.2609;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31271;O15164;TRIM24;0;Oncology_II;B13804;P1;WARN;-6.0061;-4.8987;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30113;O43290;SART1;0.1023;Cardiometabolic_II;B13805;P1;WARN;-2.721;-1.4754;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30126;Q9BW61;DDA1;0.3182;Cardiometabolic_II;B13805;P1;PASS;-3.6001;-4.2311;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31100;P10092;CALCB;0;Neurology_II;B13806;P1;PASS;-6.3629;-5.1675;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21170;O14662;STX16;0.0795;Oncology;B04404;P1;PASS;-3.5946;-2.7204;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20627;O60884;DNAJA2;0;Inflammation;B04403;P1;PASS;-7.4886;-3.6608;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30751;P02750;LRG1;0;Inflammation_II;B13803;P1;PASS;-3.4727;-1.7651;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30697;P17927;CR1;0;Inflammation_II;B13803;P1;WARN;-9.656;-3.2083;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20441;Q9UPV0;CEP164;0;Inflammation;B04403;P1;PASS;-4.6097;-3.3962;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30534;P81534;DEFB103A_DEFB103B;0.0341;Inflammation_II;B13803;P1;PASS;-4.6919;-2.7408;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21425;Q96I15;SCLY;0;Oncology;B04404;P1;PASS;-7.8744;0.2012;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20484;Q05084;ICA1;0.0114;Inflammation;B04403;P1;PASS;-5.6906;-4.9644;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20356;Q99650;OSMR;0;Cardiometabolic;B04405;P1;PASS;-3.1928;-0.8454;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30151;O15018;PDZD2;0.0455;Cardiometabolic_II;B13805;P1;PASS;-4.4459;-3.9427;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30070;P46783;RPS10;0.8636;Cardiometabolic_II;B13805;P1;PASS;0.3461;0.1356;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21359;Q7Z5R6;APBB1IP;0;Oncology;B04404;P1;PASS;-4.832;-1.9609;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30206;Q9BTK6;PAGR1;0;Cardiometabolic_II;B13805;P1;PASS;-4.8675;-3.7593;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20292;P12111;COL6A3;0;Cardiometabolic;B04405;P1;PASS;-8.9462;-0.0632;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31321;P78317;RNF4;0.7727;Oncology_II;B13804;P1;PASS;-4.33;-4.5802;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31062;Q6Y7W6;GIGYF2;0;Neurology_II;B13806;P1;PASS;-7.774;-6.4036;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20222;Q92692;NECTIN2;0;Cardiometabolic;B04405;P1;PASS;-7.1271;0.7134;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20552;P52564;MAP2K6;0;Inflammation;B04403;P1;WARN;-5.9833;-5.0382;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21075;P19440;GGT1;0;Neurology;B04406;P1;PASS;-6.7273;-2.9837;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30667;P0DML2;CSH1;0.9886;Inflammation_II;B13803;P1;PASS;-6.5917;-7.3686;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21449;P06127;CD5;0;Oncology;B04404;P1;PASS;-9.1387;-2.5634;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30809;P43220;GLP1R;0.9205;Neurology_II;B13806;P1;PASS;-1.666;-1.8663;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21230;Q8WUX2;CHAC2;0.3182;Oncology;B04404;P1;PASS;-3.8273;-3.7328;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30533;Q9Y2X7;GIT1;0;Inflammation_II;B13803;P1;PASS;-7.2549;-4.0273;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31164;P06493;CDK1;0.2045;Oncology_II;B13804;P1;PASS;-5.2261;-3.8787;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20403;P03950;ANG;0;Cardiometabolic;B04405;P1;PASS;-8.465;0.4378;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21098;Q9UGT4;SUSD2;0;Neurology;B04406;P1;PASS;-8.7032;-2.1123;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30597;Q8TDQ7;GNPDA2;0;Inflammation_II;B13803;P1;PASS;-3.7916;0.2554;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30386;Q6IBS0;TWF2;0.2273;Cardiometabolic_II;B13805;P1;PASS;-4.864;-4.0069;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20542;Q12765;SCRN1;0;Inflammation;B04403;P1;PASS;-7.0112;-4.2675;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30728;Q9Y5Y7;LYVE1;0.2386;Inflammation_II;B13803;P1;PASS;-3.0647;-3.1976;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20931;Q02083;NAAA;0;Neurology;B04406;P1;PASS;-6.0279;-1.1693;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31261;O75293;GADD45B;0.2614;Oncology_II;B13804;P1;PASS;-4.5107;-4.3165;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21406;P47929;LGALS7_LGALS7B;0;Oncology;B04404;P1;PASS;-5.1385;-1.6528;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30694;P22897;MRC1;0;Inflammation_II;B13803;P1;PASS;-7.3248;-2.9456;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20460;O14904;WNT9A;0;Inflammation;B04403;P1;PASS;-3.6597;-2.2647;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21351;O75144;ICOSLG;0;Oncology;B04404;P1;PASS;-5.9038;0.0341;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31156;Q8N4C8;MINK1;0;Neurology_II;B13806;P1;PASS;-9.4248;-7.1798;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30520;Q16718;NDUFA5;0.1591;Inflammation_II;B13803;P1;PASS;-4.4072;-3.849;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30451;P15531;NME1;0.7614;Inflammation_II;B13803;P1;PASS;0.0781;-0.3411;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20409;P00915;CA1;0;Cardiometabolic;B04405;P1;PASS;-8.7225;-0.911;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31137;O95954;FTCD;0;Neurology_II;B13806;P1;PASS;-5.5483;-3.5119;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21176;Q9P0J1;PDP1;0;Oncology;B04404;P1;PASS;-4.4412;-3.6762;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30523;O95835;LATS1;0;Inflammation_II;B13803;P1;PASS;-6.0944;-4.9922;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31282;Q9H2G2;SLK;0.3977;Oncology_II;B13804;P1;PASS;-4.6508;-5.209;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20274;P14555;PLA2G2A;0;Cardiometabolic;B04405;P1;PASS;-4.4405;-1.1719;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20584;P01730;CD4;0;Inflammation;B04403;P1;PASS;-3.0739;-0.1757;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20105;Q9BYF1;ACE2;0;Cardiometabolic;B04405;P1;PASS;-2.8796;-0.6446;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20201;P00797;REN;0;Cardiometabolic;B04405;P1;PASS;-5.2919;-0.2694;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20164;P51693;APLP1;0;Cardiometabolic;B04405;P1;PASS;-5.1492;-1.8332;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30619;Q96HD1;CRELD1;0;Inflammation_II;B13803;P1;PASS;-5.8769;0.0161;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31180;Q7Z4W2;LYZL2;0;Oncology_II;B13804;P1;PASS;-3.9557;-2.9041;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21366;O00748;CES2;0;Oncology;B04404;P1;PASS;-6.5003;-0.7025;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30893;Q93015;NAA80;0;Neurology_II;B13806;P1;PASS;-4.7946;-3.6264;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21429;Q96JA1;LRIG1;0;Oncology;B04404;P1;PASS;-7.681;-0.8176;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30772;P05156;CFI;0;Inflammation_II;B13803;P1;PASS;-4.7711;-1.9472;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31265;P43166;CA7;0.5341;Oncology_II;B13804;P1;PASS;-3.0042;-2.3694;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30426;Q9Y4C1;KDM3A;0.7727;Inflammation_II;B13803;P1;PASS;-3.5086;-3.8112;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21459;Q16775;HAGH;0;Oncology;B04404;P1;PASS;-9.2174;-5.661;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31487;Q8N6M0;OTUD6B;0.4886;Oncology_II;B13804;P1;PASS;-5.8593;-5.6815;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30884;P0C7M8;CLEC2L;0.7273;Neurology_II;B13806;P1;PASS;-3.5065;-3.7617;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21428;P98082;DAB2;0.0341;Oncology;B04404;P1;PASS;-5.4035;-4.4659;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31129;P51460;INSL3;0;Neurology_II;B13806;P1;PASS;-3.7049;-0.6974;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30229;Q9NZN3;EHD3;0;Cardiometabolic_II;B13805;P1;PASS;-4.6917;-3.0983;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30271;Q9UJ70;NAGK;0;Cardiometabolic_II;B13805;P1;PASS;-4.934;-1.0427;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20285;Q9H1U4;MEGF9;0;Cardiometabolic;B04405;P1;PASS;-8.3063;-0.5091;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21150;P17538;CTRB1;0;Neurology;B04406;P1;PASS;-7.7317;-1.542;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21440;P13726;F3;0;Oncology;B04404;P1;PASS;-10.4288;-2.8264;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21161;P22307;SCP2;0.1364;Oncology;B04404;P1;PASS;-3.8636;-3.6233;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31328;Q9BW66;CINP;0.3523;Oncology_II;B13804;P1;PASS;-4.0425;-2.339;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30447;Q6UXZ4;UNC5D;0.0795;Inflammation_II;B13803;P1;PASS;-3.9355;-3.2332;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20677;P21709;EPHA1;0;Inflammation;B04403;P1;PASS;-6.5266;-0.5864;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30138;P57078;RIPK4;0.0227;Cardiometabolic_II;B13805;P1;PASS;-3.3699;-1.6411;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21499;P06870;KLK1;0;Oncology;B04404;P1;PASS;-8.2531;-1.7158;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20658;O00253;AGRP;0;Inflammation;B04403;P1;WARN;-7.0669;-2.1616;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31171;P00167;CYB5A;0.0455;Oncology_II;B13804;P1;PASS;-4.7159;-4.2928;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31120;Q15025;TNIP1;0;Neurology_II;B13806;P1;PASS;-3.8894;-1.6304;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20140;Q13043;STK4;0.2841;Cardiometabolic;B04405;P1;PASS;-2.731;-2.4426;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20817;Q9NRW1;RAB6B;0;Neurology;B04406;P1;PASS;-3.6622;-1.4682;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21021;O14737;PDCD5;0;Neurology;B04406;P1;PASS;-8.4909;-5.4816;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20790;Q86VW0;SESTD1;0.0114;Neurology;B04406;P1;PASS;-5.1048;-4.3097;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21477;Q5JTD0;TJAP1;0;Oncology;B04404;P1;PASS;-4.8497;-4.2657;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30725;P61769;B2M;0;Inflammation_II;B13803;P1;PASS;-3.8238;-2.1509;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30114;Q92935;EXTL1;0.0114;Cardiometabolic_II;B13805;P1;PASS;-3.7911;-3.4158;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31139;Q01432;AMPD3;0;Neurology_II;B13806;P1;PASS;-4.014;-1.8843;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30419;P07602;PSAP;0;Cardiometabolic_II;B13805;P1;PASS;-6.6074;-2.2174;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30925;P63172;DYNLT1;0.4773;Neurology_II;B13806;P1;PASS;-4.3092;-4.1841;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31524;Q8IWZ8;SUGP1;0.1705;Oncology_II;B13804;P1;PASS;-6.5833;-6.1307;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20840;Q5JZY3;EPHA10;0;Neurology;B04406;P1;PASS;-5.5876;-4.4396;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30849;Q8WTQ1;DEFB104A_DEFB104B;0.8864;Neurology_II;B13806;P1;PASS;-2.8569;-3.1948;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20510;Q9Y5A7;NUB1;0;Inflammation;B04403;P1;PASS;-5.1633;-2.7202;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30679;P07307;ASGR2;0.0341;Inflammation_II;B13803;P1;PASS;-4.1192;-3.9679;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21484;P32004;L1CAM;0;Oncology;B04404;P1;PASS;-5.6971;-1.3548;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30665;Q6UX06;OLFM4;0;Inflammation_II;B13803;P1;PASS;-5.0984;-0.7099;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20959;Q8WV92;MITD1;0;Neurology;B04406;P1;PASS;-4.08;-1.5475;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20594;Q8NDB2;BANK1;0.0455;Inflammation;B04403;P1;PASS;-4.3022;-3.0524;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20470;Q12968;NFATC3;0.1932;Inflammation;B04403;P1;PASS;-3.4306;-2.8457;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31217;Q8NDC4;MORN4;0.9091;Oncology_II;B13804;P1;PASS;-4.9101;-5.7768;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30777;P05155;SERPING1;0;Inflammation_II;B13803;P1;PASS;-4.2084;-1.7092;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30428;O00206;TLR4;0.8864;Inflammation_II;B13803;P1;PASS;-3.8895;-4.2783;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21456;P16562;CRISP2;0;Oncology;B04404;P1;PASS;-10.2925;-2.2722;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20469;Q16552;IL17A;0;Inflammation;B04403;P1;PASS;-5.7348;-2.9446;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20253;Q9UM47;NOTCH3;0;Cardiometabolic;B04405;P1;PASS;-7.6857;-2.0488;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20079;P62736;ACTA2;0.0455;Cardiometabolic;B04405;P1;PASS;-1.644;-0.6163;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20961;P06748;NPM1;0;Neurology;B04406;P1;PASS;-3.098;-0.4162;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31337;Q9Y4G8;RAPGEF2;0.4432;Oncology_II;B13804;P1;PASS;-4.6571;-3.7497;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20083;P21246;PTN;0.0909;Cardiometabolic;B04405;P1;PASS;-4.2387;-3.9626;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20368;P35443;THBS4;0;Cardiometabolic;B04405;P1;PASS;-7.2371;-0.635;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31346;Q7Z6P3;RAB44;0.0114;Oncology_II;B13804;P1;PASS;-5.272;-4.265;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20626;P35613;BSG;0;Inflammation;B04403;P1;PASS;-6.4568;0.1385;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31034;Q96I25;RBM17;0;Neurology_II;B13806;P1;PASS;-7.8165;-6.9464;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20210;Q9UEW3;MARCO;0;Cardiometabolic;B04405;P1;PASS;-4.3957;1.1604;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31163;Q9NPI5;NMRK2;0.7614;Oncology_II;B13804;P1;PASS;-0.8412;-1.8831;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21033;P01236;PRL;0;Neurology;B04406;P1;PASS;-9.5888;-2.5256;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31233;Q969P6;TOP1MT;0.9205;Oncology_II;B13804;P1;PASS;-3.8801;-4.4138;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31273;Q9UK41;VPS28;0.1932;Oncology_II;B13804;P1;PASS;-4.2847;-3.4809;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20416;Q92820;GGH;0;Cardiometabolic;B04405;P1;PASS;-3.1675;0.9931;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30696;P12821;ACE;0.2727;Inflammation_II;B13803;P1;PASS;-4.3014;-3.0653;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20708;Q14210;LY6D;0;Inflammation;B04403;P1;PASS;-4.629;-0.4701;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20563;P05231;IL6;0;Inflammation;B04403;P1;WARN;-8.3125;-4.1746;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20239;Q13361;MFAP5;0;Cardiometabolic;B04405;P1;PASS;-6.5926;-1.3659;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20728;Q8WXD2;SCG3;0;Inflammation;B04403;P1;PASS;-7.355;-0.2404;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20953;O43557;TNFSF14;0;Neurology;B04406;P1;PASS;-5.8692;-0.8263;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20523;P80098;CCL7;0;Inflammation;B04403;P1;PASS;-4.976;-2.5439;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31284;P47928;ID4;0.0341;Oncology_II;B13804;P1;PASS;-2.7925;-2.3037;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30094;B6SEH8;ERVV-1;0.0341;Cardiometabolic_II;B13805;P1;PASS;-5.0539;-3.7012;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30474;O95429;BAG4;0;Inflammation_II;B13803;P1;PASS;-4.1671;-3.0623;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31169;A6NGN9;IGLON5;0.0682;Oncology_II;B13804;P1;PASS;-3.9204;-2.77;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20402;P04070;PROC;0;Cardiometabolic;B04405;P1;PASS;-7.6644;0.2327;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21062;P14207;FOLR2;0;Neurology;B04406;P1;PASS;-10.501;-2.5137;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20286;P31146;CORO1A;0;Cardiometabolic;B04405;P1;PASS;-7.7336;-3.9673;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20484;Q05084;ICA1;0.0114;Inflammation;B04403;P1;PASS;-5.6906;-4.2036;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21146;P11717;IGF2R;0;Neurology;B04406;P1;PASS;-7.8645;-3.0674;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30403;P10645;CHGA;0;Cardiometabolic_II;B13805;P1;PASS;-7.0747;-2.5493;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20343;P43121;MCAM;0;Cardiometabolic;B04405;P1;PASS;-6.7268;-3.1885;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21488;Q9BYH1;SEZ6L;0;Oncology;B04404;P1;PASS;-6.0242;-3.4242;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30149;Q9UNN8;PROCR;0.1023;Cardiometabolic_II;B13805;P1;PASS;-3.125;-1.7782;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30997;Q9NXH3;PPP1R14D;0.0341;Neurology_II;B13806;P1;PASS;-6.4504;-6.3419;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30081;O60701;UGDH;0.7727;Cardiometabolic_II;B13805;P1;PASS;-3.8327;-3.9245;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30536;P52630;STAT2;0;Inflammation_II;B13803;P1;PASS;-4.1334;-3.0877;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30489;Q9Y3D3;MRPS16;0.8864;Inflammation_II;B13803;P1;PASS;-1.8273;-2.5783;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30521;Q96PU5;NEDD4L;0;Inflammation_II;B13803;P1;PASS;-3.6728;-2.8437;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30378;P98095;FBLN2;0;Cardiometabolic_II;B13805;P1;PASS;-4.1262;-1.3717;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30381;P13727;PRG2;0;Cardiometabolic_II;B13805;P1;PASS;-8.0467;-4.4331;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30782;P02766;TTR;0;Inflammation_II;B13803;P1;PASS;-3.0665;0.6616;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30584;O76074;PDE5A;0;Inflammation_II;B13803;P1;PASS;-3.8308;-1.0766;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20735;O00300;TNFRSF11B;0;Inflammation;B04403;P1;PASS;-7.1148;0.39;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30050;P78524;DENND2B;0.0568;Cardiometabolic_II;B13805;P1;PASS;-3.411;-2.1548;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30075;Q9Y3B8;REXO2;0.1818;Cardiometabolic_II;B13805;P1;PASS;-2.8319;-1.5581;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20624;O43508;TNFSF12;0;Inflammation;B04403;P1;PASS;-11.5723;-3.1572;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21346;P07949;RET;0;Oncology;B04404;P1;PASS;-4.6637;1.1236;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20075;P35218;CA5A;0;Cardiometabolic;B04405;P1;PASS;-5.4008;-0.8123;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21214;Q9P0V8;SLAMF8;0;Oncology;B04404;P1;PASS;-4.5206;-1.7738;Plate control;PASS;CONTROL;0.0.0
